time,hb,accel,capacitorDisconnect
12:00,85,0,0
12:01,85,0,0
12:02,85,0,0
12:03,86,0,0
12:04,84,0,0
12:05,87,0,0
12:06,87,0,0
12:07,80,0,0
12:08,77,17,1
12:09,78,16,1
12:10,77,0,2
12:11,79,0,1
12:12,76,0,0
12:13,80,0,2
12:14,82,32,4
12:15,81,0,0
12:16,76,0,0
12:17,79,0,1
12:18,79,32,0
12:19,83,21,2
12:20,86,46,3
12:21,70,10,0
12:22,66,10,0
12:23,68,10,0
12:24,67,20,0
12:25,62,0,0
12:26,63,0,0
12:27,65,0,0
12:28,65,0,0
12:29,66,0,0
12:30,70,0,0
12:31,72,0,0
12:32,67,0,0
12:33,67,0,0
12:34,71,0,0
12:35,73,0,0
12:36,76,64,0
12:37,72,0,0
12:38,67,0,0
12:39,71,0,0
12:40,67,0,0
12:41,68,0,0
12:42,69,0,0
12:43,72,0,0
12:44,73,64,0
12:45,67,0,0
12:46,69,0,0
12:47,66,0,0
12:48,66,0,0
12:49,69,29,1
12:50,76,9,0
12:51,68,9,0
12:52,70,9,0
12:53,69,9,0
12:54,70,9,0
12:55,77,13,0
12:56,71,9,0
12:57,75,13,1
12:58,81,20,7
12:59,85,29,4
13:00,90,20,5
13:01,81,12,0
13:02,75,4,1
13:03,67,0,0
13:04,68,0,0
13:05,71,0,0
13:06,67,0,0
13:07,69,0,0
13:08,72,0,0
13:09,76,0,0
13:10,76,29,0
13:11,66,9,0
13:12,74,9,0
13:13,66,9,0
13:14,68,9,0
13:15,68,9,0
13:16,68,9,0
13:17,66,9,0
13:18,72,9,1
13:19,75,5,2
13:20,68,1,0
13:21,72,1,0
13:22,70,1,0
13:23,73,13,0
13:24,75,20,0
13:25,75,29,1
13:26,78,13,1
13:27,72,9,0
13:28,69,9,0
13:29,66,9,0
13:30,66,9,0
13:31,66,9,0
13:32,68,13,0
13:33,67,9,0
13:34,70,28,0
13:35,64,4,0
13:36,66,0,1
13:37,67,0,0
13:38,67,0,0
13:39,76,29,1
13:40,79,13,1
13:41,72,9,0
13:42,66,9,0
13:43,70,9,0
13:44,63,9,0
13:45,64,9,0
13:46,63,9,0
13:47,68,9,0
13:48,72,9,0
13:49,68,9,0
13:50,78,9,3
13:51,66,9,0
13:52,67,9,0
13:53,65,9,0
13:54,66,9,0
13:55,68,9,0
13:56,69,9,1
13:57,69,9,0
13:58,73,9,1
13:59,67,9,0
14:00,72,9,1
14:01,67,9,0
14:02,63,9,0
14:03,65,9,0
14:04,61,9,0
14:05,62,9,0
14:06,62,9,0
14:07,68,9,1
14:08,64,9,1
14:09,59,9,1
14:10,59,9,0
14:11,61,9,0
14:12,60,9,0
14:13,69,13,0
14:14,66,9,0
14:15,60,9,0
14:16,61,9,0
14:17,60,9,0
14:18,62,9,1
14:19,60,9,0
14:20,61,9,0
14:21,63,9,0
14:22,63,9,2
14:23,68,9,1
14:24,65,9,0
14:25,65,9,1
14:26,69,9,0
14:27,62,9,0
14:28,65,9,0
14:29,66,9,0
14:30,60,9,0
14:31,58,9,0
14:32,61,9,0
14:33,58,9,0
14:34,68,9,0
14:35,62,9,0
14:36,72,45,1
14:37,64,9,1
14:38,61,9,0
14:39,62,9,0
14:40,59,45,1
14:41,67,13,1
14:42,60,9,0
14:43,58,9,0
14:44,59,9,0
14:45,67,5,0
14:46,67,13,0
14:47,64,9,0
14:48,65,9,0
14:49,64,13,0
14:50,64,9,0
14:51,61,9,0
14:52,59,9,0
14:53,60,9,0
14:54,57,9,0
14:55,60,20,0
14:56,63,17,1
14:57,62,1,0
14:58,63,13,0
14:59,69,9,0
15:00,68,5,1
15:01,68,37,1
15:02,63,5,1
15:03,59,1,0
15:04,60,1,0
15:05,65,45,1
15:06,71,9,0
15:07,60,9,0
15:08,65,9,1
15:09,58,9,0
15:10,57,9,0
15:11,60,9,0
15:12,68,5,1
15:13,68,5,1
15:14,68,13,0
15:15,63,9,0
15:16,67,5,1
15:17,59,1,0
15:18,60,1,0
15:19,58,1,0
15:20,65,1,0
15:21,60,1,0
15:22,61,1,0
15:23,57,1,0
15:24,58,1,0
15:25,60,1,0
15:26,60,1,0
15:27,56,1,0
15:28,57,1,0
15:29,55,1,0
15:30,61,1,0
15:31,65,1,1
15:32,59,1,1
15:33,57,1,0
15:34,55,1,0
15:35,57,5,0
15:36,56,1,0
15:37,55,1,0
15:38,55,1,0
15:39,61,13,0
15:40,65,5,0
15:41,60,1,0
15:42,59,1,0
15:43,56,1,0
15:44,56,1,0
15:45,56,1,0
15:46,57,1,0
15:47,55,1,0
15:48,54,1,0
15:49,57,1,0
15:50,57,1,0
15:51,57,1,0
15:52,59,1,0
15:53,55,1,0
15:54,67,13,0
15:55,61,5,0
15:56,65,13,0
15:57,57,9,0
15:58,61,9,0
15:59,62,9,0
16:00,57,9,0
16:01,59,9,0
16:02,57,9,0
16:03,61,9,0
16:04,65,9,0
16:05,72,9,0
16:06,65,9,0
16:07,63,9,0
16:08,62,9,0
16:09,62,9,0
16:10,60,9,0
16:11,66,9,1
16:12,62,9,0
16:13,67,9,0
16:14,66,9,0
16:15,62,9,0
16:16,63,9,0
16:17,63,9,0
16:18,67,9,0
16:19,65,5,0
16:20,57,1,0
16:21,59,1,0
16:22,60,1,0
16:23,74,52,2
16:24,63,0,0
16:25,65,0,2
16:26,68,21,1
16:27,65,20,1
16:28,69,36,2
16:29,59,0,0
16:30,55,0,0
16:31,56,0,0
16:32,74,54,1
16:33,61,2,0
16:34,60,2,2
16:35,61,2,0
16:36,54,2,1
16:37,54,2,0
16:38,57,2,1
16:39,52,2,0
16:40,56,2,0
16:41,66,109,1
16:42,60,9,0
16:43,58,9,0
16:44,57,13,1
16:45,58,9,0
