time,hb,accel,capacitorDisconnect
12:00,103,13,0
12:01,103,13,0
12:02,112,5,0
12:03,113,13,0
12:04,102,9,0
12:05,99,9,0
12:06,93,9,0
12:07,94,13,0
12:08,98,9,0
12:09,95,13,0
12:10,98,9,0
12:11,100,9,0
12:12,107,13,0
12:13,100,13,0
12:14,100,9,0
12:15,97,9,0
12:16,100,13,0
12:17,98,5,0
12:18,98,5,0
12:19,103,45,0
12:20,97,45,0
12:21,99,5,0
12:22,105,45,0
12:23,113,5,0
12:24,109,13,0
12:25,101,9,0
12:26,98,41,0
12:27,100,9,0
12:28,100,9,0
12:29,100,9,0
12:30,100,5,0
12:31,99,5,0
12:32,103,13,0
12:33,110,13,0
12:34,111,13,0
12:35,106,13,0
12:36,109,5,0
12:37,100,13,0
12:38,100,5,0
12:39,98,13,0
12:40,107,9,0
12:41,101,13,0
12:42,102,13,0
12:43,104,24,0
12:44,100,169,0
12:45,104,73,0
12:46,98,84,0
12:47,104,47,0
12:48,97,11,0
12:49,94,11,0
12:50,96,11,0
12:51,94,11,0
12:52,100,57,0
12:53,99,73,0
12:54,110,205,0
12:55,114,5,0
12:56,117,13,0
12:57,112,9,0
12:58,118,5,0
12:59,101,13,0
13:00,112,45,0
13:01,103,13,0
13:02,112,13,0
13:03,111,13,0
13:04,113,5,0
13:05,116,5,0
13:06,115,13,0
13:07,121,13,0
13:08,120,13,0
13:09,115,13,0
13:10,117,13,0
13:11,123,5,0
13:12,122,13,0
13:13,121,5,0
13:14,119,13,0
13:15,117,5,0
13:16,121,5,0
13:17,110,5,0
13:18,109,5,0
13:19,108,13,0
13:20,115,13,0
13:21,116,13,0
13:22,116,13,0
13:23,111,13,0
13:24,110,13,0
13:25,107,13,0
13:26,109,13,0
13:27,104,13,0
13:28,104,13,0
13:29,98,9,0
13:30,100,13,0
13:31,103,13,0
13:32,111,13,0
13:33,112,13,0
13:34,103,5,0
13:35,109,13,0
13:36,115,13,0
13:37,112,13,0
13:38,113,5,0
13:39,113,13,0
13:40,114,13,0
13:41,110,13,0
13:42,105,5,0
13:43,103,13,0
13:44,102,13,0
13:45,101,13,0
13:46,102,13,0
13:47,100,13,0
13:48,97,45,0
13:49,103,13,0
13:50,114,5,0
13:51,110,5,0
13:52,113,13,0
13:53,116,13,0
13:54,118,13,0
13:55,117,13,0
13:56,114,5,0
13:57,111,13,0
13:58,117,13,0
13:59,118,5,0
14:00,126,5,0
14:01,121,13,0
14:02,120,13,0
14:03,121,13,0
14:04,119,13,0
14:05,118,13,0
14:06,123,5,0
14:07,127,13,0
14:08,117,13,0
14:09,114,13,0
14:10,121,5,0
14:11,119,13,0
14:12,109,13,0
14:13,114,13,0
14:14,109,13,0
14:15,101,13,0
14:16,101,5,0
14:17,100,13,0
14:18,101,13,0
14:19,104,13,0
14:20,95,5,0
14:21,92,13,0
14:22,94,5,0
14:23,92,13,0
14:24,97,13,0
14:25,111,13,0
14:26,108,45,0
14:27,106,13,0
14:28,110,45,0
14:29,109,45,0
14:30,99,77,0
14:31,97,77,0
14:32,98,45,0
14:33,114,13,0
14:34,111,37,0
14:35,108,173,0
14:36,111,63,0
14:37,105,89,0
14:38,117,201,0
14:39,115,59,0
14:40,124,251,0
14:41,120,93,0
14:42,118,77,0
14:43,114,93,0
14:44,125,45,0
14:45,119,13,0
14:46,119,13,0
14:47,113,13,0
14:48,110,37,0
14:49,110,45,0
14:50,110,13,0
14:51,100,105,0
14:52,98,9,0
14:53,95,9,0
14:54,96,9,0
14:55,98,9,0
14:56,95,9,0
14:57,96,41,0
14:58,98,9,0
14:59,110,45,0
15:00,103,9,0
15:01,99,13,0
15:02,104,13,0
15:03,112,77,0
15:04,109,13,0
15:05,102,13,0
15:06,104,13,0
15:07,97,13,0
15:08,104,45,0
15:09,101,13,0
15:10,101,69,0
15:11,91,13,0
15:12,90,13,0
15:13,86,13,0
15:14,87,13,0
15:15,90,13,0
15:16,100,13,0
15:17,107,45,0
15:18,101,9,0
15:19,101,13,0
15:20,101,13,0
15:21,95,9,0
15:22,96,13,0
15:23,106,13,0
15:24,112,13,0
15:25,107,9,0
15:26,102,13,0
15:27,107,41,0
15:28,104,73,0
15:29,93,5,0
15:30,85,51,0
15:31,103,157,0
15:32,100,137,0
15:33,90,9,0
15:34,88,73,0
15:35,90,105,0
15:36,91,137,0
15:37,89,41,0
15:38,102,105,0
15:39,93,9,0
15:40,103,9,0
15:41,99,9,0
15:42,92,9,0
15:43,96,9,0
