time,hb,accel,capacitorDisconnect
12:00,70,0,0
12:01,81,0,0
12:02,78,0,0
12:03,76,0,0
12:04,80,0,0
12:05,71,0,0
12:06,76,0,0
12:07,72,0,0
12:08,73,0,0
12:09,71,0,0
12:10,62,0,0
12:11,75,0,0
12:12,77,0,0
12:13,69,0,0
12:14,70,0,0
12:15,72,0,0
12:16,69,0,0
12:17,73,0,0
12:18,69,0,0
12:19,65,0,0
12:20,70,0,0
12:21,71,0,0
12:22,72,0,0
12:23,71,0,0
12:24,68,0,0
12:25,67,0,0
12:26,70,0,0
12:27,70,0,0
12:28,72,32,0
12:29,71,0,0
12:30,70,0,0
12:31,75,0,0
12:32,69,0,0
12:33,71,0,0
12:34,70,0,0
12:35,73,0,0
12:36,72,0,0
12:37,68,0,0
12:38,69,0,0
12:39,67,0,0
12:40,70,0,0
12:41,69,0,0
12:42,68,96,0
12:43,77,0,0
12:44,73,0,0
12:45,81,29,0
12:46,73,73,0
12:47,82,137,1
12:48,71,9,1
12:49,77,20,0
12:50,68,29,1
12:51,82,5,0
12:52,76,109,1
12:53,77,41,1
12:54,80,9,0
12:55,80,9,0
12:56,75,9,0
12:57,71,9,1
12:58,72,105,0
12:59,78,9,1
13:00,72,141,0
13:01,73,141,2
13:02,77,9,0
13:03,77,73,0
13:04,78,20,0
13:05,65,0,0
13:06,67,0,0
13:07,71,61,0
13:08,77,109,0
13:09,78,45,0
13:10,80,109,0
13:11,74,9,0
13:12,73,9,0
13:13,72,9,0
13:14,81,105,1
13:15,77,20,0
13:16,58,0,0
13:17,57,0,0
13:18,63,0,0
13:19,58,0,0
13:20,52,0,0
13:21,57,0,0
13:22,58,0,0
13:23,61,0,0
13:24,58,0,0
13:25,52,0,0
13:26,62,0,0
13:27,67,0,0
13:28,61,0,0
13:29,60,0,0
13:30,61,0,0
13:31,60,0,0
13:32,59,0,0
13:33,72,61,0
13:34,70,9,0
13:35,60,52,0
13:36,64,0,0
13:37,62,0,0
13:38,57,0,0
13:39,61,0,0
13:40,57,0,0
13:41,59,0,0
13:42,61,61,1
13:43,73,9,0
13:44,71,9,1
13:45,65,41,0
13:46,73,45,0
13:47,77,9,1
13:48,76,173,0
13:49,73,77,0
13:50,79,52,0
13:51,56,0,0
13:52,59,0,0
13:53,65,0,0
13:54,58,0,0
13:55,60,0,0
13:56,57,0,0
13:57,75,29,0
13:58,78,77,1
13:59,72,9,0
14:00,70,9,1
14:01,73,9,0
14:02,77,9,0
14:03,75,9,0
14:04,77,84,0
14:05,60,0,0
14:06,61,0,0
14:07,60,0,0
14:08,63,0,0
14:09,61,0,0
14:10,62,0,0
14:11,63,0,0
14:12,63,0,0
14:13,60,0,0
14:14,63,0,0
14:15,62,0,0
14:16,67,0,0
14:17,66,0,0
14:18,69,0,0
14:19,63,0,0
14:20,63,0,0
14:21,65,0,0
14:22,68,29,0
14:23,73,109,0
14:24,72,41,0
14:25,72,173,2
14:26,76,52,0
14:27,78,0,0
14:28,67,0,0
14:29,74,0,0
14:30,73,0,0
14:31,72,0,0
14:32,70,0,0
14:33,73,0,0
14:34,66,0,0
14:35,63,0,0
14:36,67,0,0
14:37,64,0,0
14:38,65,0,0
14:39,61,0,0
14:40,61,0,0
14:41,64,0,0
14:42,69,0,0
14:43,62,0,0
14:44,68,0,0
14:45,66,0,0
14:46,70,0,0
14:47,67,0,0
14:48,64,0,0
14:49,61,0,0
14:50,64,0,0
14:51,64,0,0
14:52,62,0,0
14:53,67,0,0
14:54,74,0,0
14:55,68,0,0
14:56,65,0,0
14:57,71,0,0
14:58,70,0,0
14:59,64,0,0
15:00,74,0,0
15:01,67,0,0
15:02,63,0,0
15:03,63,0,0
15:04,60,0,0
15:05,69,0,0
15:06,65,0,0
15:07,61,0,0
15:08,67,0,0
15:09,59,0,0
15:10,57,0,0
15:11,60,0,0
15:12,76,0,0
15:13,68,32,0
15:14,63,0,0
15:15,65,0,0
15:16,61,0,0
15:17,63,0,0
15:18,60,0,0
15:19,62,0,0
15:20,57,0,0
15:21,60,0,0
15:22,63,0,0
15:23,64,0,0
15:24,63,0,0
15:25,64,0,0
15:26,66,0,0
15:27,65,0,0
15:28,68,0,0
15:29,61,0,0
15:30,60,0,0
15:31,63,0,0
15:32,61,0,0
15:33,56,0,0
15:34,65,0,0
15:35,62,0,0
15:36,65,0,0
15:37,77,0,0
15:38,62,0,0
15:39,63,0,0
15:40,61,0,0
15:41,63,0,0
15:42,67,0,0
15:43,60,0,0
15:44,66,0,0
15:45,68,0,0
15:46,64,0,0
15:47,64,0,0
